impact,response_0,response_1
0.0024291676536528336,-0.5078396753439747,-0.1718950410307894
0.011896578697535824,-0.23641090499738618,-0.26733097906142483
0.049294341088388656,-0.007469151735683674,0.08202748552195809
0.17283219725470572,0.5881153465190638,-0.012271071493887755
0.5128391554049958,0.6395560124588914,-0.1256202306247301
1.288214447311893,0.8532882253864058,0.029100561081520204
2.740388712417319,2.4002052421027478,0.7047840421874034
4.939036961361426,3.690940364926799,0.880427907735146
7.544765550612077,4.67614122389799,2.245415675905398
9.771126699123231,4.8398970177615155,3.6646178650439776
10.734192308028268,2.6691238385858806,5.039775025005916
10.02894576245161,-1.2117879912456642,5.556343678088748
8.05806772108011,-5.746119285543868,4.698091787697238
5.78426217254673,-9.790830330249904,1.9127716708948885
4.096413087474202,-11.273303488644812,-2.045426092193007
3.309619122033383,-9.922116733415189,-7.268585990894159
3.137615050746814,-7.054937171332358,-11.675326664111237
3.052302695897908,-3.0402330202659136,-15.264388407724612
2.6933403295122473,1.186026941024447,-16.177157770805263
2.0408370889454615,4.79217541532137,-14.490572737212492
1.3039509666030633,7.185023862761313,-10.104155158555303
0.6985651444819946,8.16340265339746,-3.263094686156879
0.3131435219505915,8.460916273045386,4.456196411434547
0.11729885480842919,7.5929575056135326,11.73673950778834
0.03666860739841903,5.491315909004588,18.08553583713696
0.009553469799052033,2.835893041747473,21.40555533805248
0.0020716920585528383,-0.0013199373975504736,21.450511707635606
0.00037348481731703,-2.142659429758751,18.51960046451411
5.592035653578011e-05,-4.456469732458591,12.974382700501788
6.948137848427065e-06,-5.596482655847804,5.023782097234337
7.15983310748686e-07,-5.5862491252338815,-3.063454309303574
6.116157617319598e-08,-4.807592813193562,-10.98014771198368
4.329702768375899e-09,-3.909862155511874,-17.120295327786387
2.539492738310675e-10,-1.7490307805827081,-20.95924944230891
1.2339082623661537e-11,0.2742896232604276,-21.640993141325453
4.966214952083652e-13,1.6566804520666296,-18.96904186314221
1.655578056443208e-14,2.330187292841748,-13.45766144301142
4.571302046805386e-16,3.820459025395142,-6.620138683720208
1.0454111523305732e-17,3.2915059915354212,1.3993927419114636
1.98009482983203e-19,2.9511460957813234,8.4541391317851
3.106229246555109e-21,2.068981985561098,14.306789855728807
4.0357849949414533e-23,0.8269317840182353,17.918062786334072
4.342788230749927e-25,-0.04032565915248152,18.836508772455883
3.870391801280914e-27,-0.8467651814826515,16.93011845984168
2.856844611539489e-29,-1.3095712050741066,12.46837901851983
1.7464799197819441e-31,-1.8242022874499444,6.7134590384380575
8.842718617203241e-34,-1.7284516384773025,0.2504636449124778
3.7081152005574845e-36,-1.4937639387934625,-5.619454122727287
1.2878515967389958e-38,-0.6905979409284705,-10.555627655664068
3.7044488971964344e-41,-0.35341755228845556,-13.956884024968202
8.825241067504202e-44,-0.10136051476902226,-15.089638036998716
1.7413045194668546e-46,0.29961447477189274,-13.645234632817008
2.8455620315170385e-49,0.04720699532506861,-10.415415184284257
3.851293065258825e-52,0.3640787731556344,-6.682143424280602
4.317081602334897e-55,0.5085275929302551,-1.4918988351730793
4.007920773172071e-58,0.43846785393487653,3.114363440503693
3.0817200083377735e-61,0.21993693139615295,6.573320971212086
1.9625123935381295e-64,0.06319808304467449,9.740582525028016
1.0350869136915334e-67,0.41405803208588016,10.161186424667937
4.521540318359734e-71,0.42939295600220373,9.741301299196172
1.6358413335549217e-74,0.03579895611027853,8.218284360740995
4.901636791806157e-78,0.4948670292498818,5.281474891488505
1.2164275755344035e-81,0.11385296468362804,2.3052644631625876
2.5002104509381836e-85,0.42546805979860536,-0.6903871263200979
4.25610227504173e-89,0.2096181727326214,-3.6933990676828214
6.0005730191386605e-93,-0.040775575196949604,-5.384431619735633
7.006781492001674e-97,-0.1928970206238563,-6.143605727261145
6.77625285516838e-101,-0.04652745608376979,-6.435718318009125
5.427574736853868e-105,-0.5557538199267475,-5.450107886736832
3.6005363625390097e-109,-0.5402268132502358,-4.594436079638414
1.978216273467995e-113,-0.5752896787203896,-2.6072469192466854
